acteur	nombre
Barney Clark	2
Ben Kingsley	17
Jeremy Swift	3
Ian McNeice	2
Richard Durden	2
Timothy Bateson	1
Andy de la Tour	1
Filip Hes	1
Andreas Papadopoulos	1
Laurie Athey	1
Ken Watanabe	10
Liam Neeson	27
Katie Holmes	4
Tom Wilkinson	11
Rutger Hauer	8
Linus Roache	5
Kate Beckinsale	12
Scott Speedman	6
Shane Brolly	5
Michael Sheen	7
Erwin Leder	1
Sophia Myles	4
Robbie Gee	2
Wentworth Miller	3
Kevin Grevioux	3
Arnold Schwarzenegger	11
Nick Stahl	6
Kristanna Loken	4
Claire Danes	1
David Andrews	1
Mark Famiglietti	2
Earl Boen	1
Moira Sinise	1
Chopper Bernet	1
Christopher Lawford	1
Gael García Bernal	10
Charlotte Gainsbourg	26
Miou-Miou	18
Alain Chabat	24
Pierre Vaneck	2
Emma de Caunes	9
Aurélia Petit	14
Sacha Bourdo	9
Stéphane Metzger	4
Alain de Moyencourt	1
Charlotte Rampling	23
Charles Dance	12
Ludivine Sagnier	28
Jean-Marie Lamour	2
Marc Fayolle	1
Mireille Mossé	1
Michel Fau	6
Jean-Claude Lecas	5
Emilie Gavois-Kahn	7
Erarde Forestali	1
Bill Murray	5
Jessica Lange	3
Sharon Stone	4
Julie Delpy	7
Heather Alicia Simms	1
Brea Frazier	1
Jarry Fall	1
Korka Fall	1
Saul Holland	1
Zakira Holland	1
Samuel L. Jackson	37
Julianna Margulies	2
Nathan Phillips	2
Rachel Blanchard	1
Flex Alexander	1
Kenan Thompson	2
Keith Dallas	3
Lin Shaye	4
Bruce James	1
Sunny Mabrey	2
Sam Neill	8
William H. Macy	7
Téa Leoni	2
Alessandro Nivola	4
Trevor Morgan	3
Michael Jeter	3
John Diehl	2
Bruce A. Young	1
Laura Dern	5
Taylor Nichols	1
Omar Sharif	3
Pierre Boulanger	5
Gilbert Melki	28
Isabelle Renauld	10
Lola Naymark	8
Anne Suarez	8
Mata Gabin	4
Céline Samie	2
Isabelle Adjani	10
Guillaume Gallienne	14
Harvey Keitel	16
Emmanuelle Béart	16
Norman Reedus	10
Joe Grifasi	2
Lily Rabe	1
Kim Director	1
Brian Tarantina	1
Patrick Collins	2
Chuck Cooper	2
Clem Cheung	1
Valeria Bruni Tedeschi	25
Sabrina Seyvecou	10
Romain Torres	1
Jacques Bonnaffé	17
Edouard Collin	2
Yannick Baudin	1
Julien Weber	1
Sébastien Cormier	1
Anne Hathaway	5
Meryl Streep	5
Adrian Grenier	3
Emily Blunt	8
Stanley Tucci	9
Simon Baker	3
Tracie Thoms	4
Rich Sommer	1
Daniel Sunjata	2
David Marshall Grant	1
Ambrosia Kelley	1
Michael Parks	6
James Parks	1
Jonathan Loughran	1
Michael Bowen	5
Sanaa Lathan	3
Lance Henriksen	6
Raoul Bova	4
Ewen Bremner	8
Colin Salmon	6
Tommy Flanagan	10
Joseph Rye	1
Agathe de La Boulaye	4
Carsten Norgaard	1
Sam Troughton	1
Frank Finlay	2
Emilia Fox	3
Michal Zebrowski	2
Ed Stoppard	3
Maureen Lipman	1
Jessica Kate Meyer	1
Julia Rayner	1
Wanja Mues	1
Dennis Quaid	9
Jake Gyllenhaal	10
Emmy Rossum	2
Dash Mihok	7
Jay O. Sanders	3
Sela Ward	3
Austin Nichols	2
Arjay Smith	2
Tamlyn Tomita	2
Sasha Roiz	3
Reiko Aylesworth	1
Steven Pasquale	1
Shareeka Epps	1
Johnny Lewis	2
Ariel Gade	1
Kristen Hager	3
Sam Trammell	2
Robert Joy	3
David Paetkau	2
Daniel Auteuil	40
Juliette Binoche	33
Maurice Bénichou	8
Annie Girardot	5
Bernard Le Coq	12
Walid Afkir	5
Lester Makedonsky	1
Daniel Duval	13
Nathalie Richard	17
Denis Podalydès	53
Vanessa Williams	3
Jeffrey Wright	7
Busta Rhymes	3
Dan Hedaya	4
Richard Roundtree	3
Ruben Santiago-Hudson	1
Josef Sommer	1
Naseeruddin Shah	10
Lillete Dubey	5
Shefali Shah	2
Vijay Raaz	8
Tillotama Shome	4
Vasundhara Das	3
Parvin Dabas	3
Kulbhushan Kharbanda	6
Kamini Khanna	1
Rajat Kapoor	2
Richard Dreyfuss	8
Kurt Russell	9
Josh Lucas	6
Jacinda Barrett	4
Mía Maestro	4
Mike Vogel	4
Kevin Dillon	5
Freddy Rodríguez	4
Jimmy Bennett	6
Martine McCutcheon	2
Laura Linney	3
Gregor Fisher	2
Rory MacGregor	1
Colin Firth	13
Sienna Guillory	11
Emma Thompson	8
Sam Worthington	13
Anton Yelchin	7
Moon Bloodgood	2
Helena Bonham Carter	8
Jadagrace	1
Bryce Dallas Howard	6
Common	10
Jane Alexander	3
Michael Ironside	11
Patrick Chesnais	21
Anne Consigny	23
Georges Wilson	2
Lionel Abelanski	27
Cyril Couton	7
Geneviève Mnich	14
Hélène Alexandridis	3
Anne Benoît	18
Olivier Claverie	11
Marie-Sohna Condé	7
Sara Foster	1
Jordana Brewster	8
Jill Ritchie	1
Meagan Good	8
Geoff Stults	3
Jimmi Simpson	7
Jessica Cauffiel	1
Christina Kirk	1
Holland Taylor	2
Paul Bettany	12
Lauren Bacall	3
Harriet Andersson	1
Blair Brown	2
James Caan	6
Patricia Clarkson	6
Jeremy Davies	3
Ben Gazzara	2
Tobey Maguire	3
Kirsten Dunst	12
Willem Dafoe	22
James Franco	19
Cliff Robertson	1
Rosemary Harris	4
J.K. Simmons	14
Joe Manganiello	6
Gerry Becker	2
Bill Nunn	3
Alfred Molina	9
Donna Murphy	2
Daniel Gillies	2
Dylan Baker	4
Topher Grace	4
Thomas Haden Church	3
James Cromwell	11
Theresa Russell	1
Keanu Reeves	13
Rachel Weisz	12
Max Baker	2
Pruitt Taylor Vince	6
Gavin Rossdale	3
Jesse Ramirez	1
Anaïs Reboux	1
Roxane Mesquida	10
Libero De Rienzo	5
Arsinée Khanjian	5
Romain Goupil	3
Laura Betti	1
Albert Goldberg	3
Odette Barrière	1
Ann Matthijsse	1
Pierre Renverseau	1
Ulrich Mühe	2
Martina Gedeck	6
Sebastian Koch	6
Ulrich Tukur	12
Thomas Thieme	1
Hans-Uwe Bauer	2
Volkmar Kleinert	1
Matthias Brenner	1
Charly Hübner	7
Herbert Knaup	2
Paul Walker	14
Tyrese Gibson	21
Cole Hauser	11
Eva Mendes	7
Ludacris	10
Thom Barry	1
James Remar	5
Amaury Nolasco	7
Michael Ealy	4
Radha Mitchell	12
Laurie Holden	3
Deborah Kara Unger	6
Kim Coates	11
Tanya Allen	3
Alice Krige	3
Jodelle Ferland	2
Colleen Williams	1
Ron Gabriel	1
Alexandre Rodrigues	1
Leandro Firmino	1
Matheus Nachtergaele	4
Phellipe Haagensen	1
Douglas Silva	1
Jonathan Haagensen	1
Seu Jorge	4
Jefechander Suplino	1
Alice Braga	6
Emerson Gomes	1
Laurence Fishburne	19
Carrie-Anne Moss	6
Hugo Weaving	5
Ray Anthony	1
Christine Anu	1
Andy Arness	1
Alima Ashton-Sheibu	1
Helmut Bakaitis	2
Steve Bastoni	2
Mary Alice	1
Tanveer K. Atwal	1
Kate Beahan	1
Francine Bell	1
Monica Bellucci	22
Tommy Lee Jones	14
Will Smith	12
Rip Torn	3
Lara Flynn Boyle	3
Johnny Knoxville	7
Tony Shalhoub	7
Patrick Warburton	4
Jack Kehler	2
David Cross	7
Eric Bana	10
Daniel Craig	13
Marie-Josée Croze	22
Hanns Zischler	9
Ayelet Zurer	4
Gila Almagor	3
Michael Lonsdale	20
Billy Connolly	6
William Atherton	4
Chad Lindberg	4
Ray Godshall Sr.	1
Tony Goldwyn	5
Masato Harada	1
Masashi Odate	2
John Koyama	1
Takahiro Sakurai	19
Ayumi Ito	5
Shôtarô Morikubo	7
Maaya Sakamoto	15
Keiji Fujiwara	12
Taiten Kusunoki	3
Yûji Kishi	2
Kenji Nomura	1
Shôgo Suzuki	2
Masahiro Kobayashi	2
Brad Pitt	16
Julian Glover	4
Nathan Jones	7
Adoni Maropis	3
Jacob Smith	1
Brendan Gleeson	15
Choi Min-sik	5
Yoo Ji-tae	7
Kang Hye-jeong	2
Kim Byeong-Ok	10
Ji Dae-han	4
Oh Dal-su	22
Seung-shin Lee	1
Yoon Jin-seo	2
Oh Tae-kyung	3
Yoo Yeon-seok	4
Ben Affleck	12
Josh Hartnett	11
William Lee Scott	3
Greg Zola	1
Alec Baldwin	10
Jaime King	6
Catherine Kellner	1
Jennifer Garner	6
Simon Pegg	15
Nick Frost	5
Kate Ashfield	3
Lucy Davis	2
Dylan Moran	1
Nicola Cunningham	1
Keir Mills	1
Matt Jaynes	1
Gavin Ferguson	1
Peter Serafinowicz	4
Natalie Portman	11
Rupert Graves	1
Stephen Rea	7
Stephen Fry	4
Tim Pigott-Smith	3
Roger Allam	3
Ben Miles	3
Sinéad Cusack	2
Angelina Jolie	20
Adam Brody	6
Vince Vaughn	7
Kerry Washington	4
Keith David	19
Chris Weitz	1
Rachael Huntley	1
Michelle Monaghan	11
Stephanie March	1
Tony Curran	9
Steven Mackintosh	4
Brian Steele	3
Zita Görög	1
Scott McElroy	1
Siu Ping-Lam	1
Tung Cho 'Joe' Cheung	4
Rebecca Pan	2
Kelly Lai Chen	1
Man-Lei Chan	2
Kam-Wah Koo	2
Szu-Ying Chien	1
Paulyn Sun	4
Faye Wong	2
Takuya Kimura	5
Carina Lau	9
Jie Dong	2
Thongchai McIntyre	1
Jude Law	13
Ed Harris	10
Joseph Fiennes	9
Bob Hoskins	5
Eva Mattes	2
Gabriel Thomson	1
Matthias Habich	1
Sophie Rois	3
Tom Sizemore	21
William Fichtner	14
Sam Shepard	11
Gabriel Casseus	4
Hugh Dancy	4
Mark Wahlberg	21
Tim Roth	19
Michael Clarke Duncan	7
Paul Giamatti	13
Estella Warren	5
Cary-Hiroyuki Tagawa	7
David Warner	4
Kris Kristofferson	6
Erick Avari	2
Sarah Polley	5
Ving Rhames	16
Mekhi Phifer	4
Jake Weber	4
Ty Burrell	4
Michael Kelly	3
Kevin Zegers	6
Michael Barry	1
Lindy Booth	1
Jayne Eastwood	2
Dougray Scott	7
Thandiwe Newton	8
Richard Roxburgh	5
John Polson	1
Rade Serbedzija	5
William Mapother	2
Dominic Purcell	10
Philip Seymour Hoffman	4
Billy Crudup	7
Keri Russell	4
Maggie Q	8
Eddie Marsan	15
Vincent Cassel	26
Albert Dupontel	23
Philippe Nahon	23
Jo Prestia	10
Stéphane Drouot	1
Jean-Louis Costes	1
Mick Gondouin	2
Mourad Khima	1
Layde Hellal	1
Laura Harring	5
Jeanne Bates	1
Dan Birnbaum	1
Randall Wulff	1
Robert Forster	4
Brent Briscoe	4
Maya Bond	1
Patrick Fischler	3
Julia Hummer	1
Sabine Timoteo	3
Marianne Basler	11
Aurélien Recoing	21
Benno Fürmann	7
Anna Schudt	1
Claudia Geisler-Bading	1
Philipp Hauß	1
Victoria Trauttmansdorff	2
Peter Kurth	3
Pádraic Delaney	4
Liam Cunningham	13
Orla Fitzgerald	1
Mary O'Riordan	1
Mary Murphy	1
Laurence Barry	1
Damien Kearney	1
Frank Bourke	1
Myles Horgan	1
Derek Luke	5
Tim Robbins	4
Bonnie Mbuli	1
Mncedisi Shabangu	1
Tumisho Masha	3
Sithembiso Khumalo	1
Terry Pheto	2
Michele Burgers	1
Mpho Lovinga	1
Mxo	1
Mohamed Akhzam	1
Peter Wight	5
Harriet Walter	5
Trevor Martin	1
Matyelok Gibbs	1
Georges Bousquet	1
Claudine Acs	3
Helen Mirren	11
Alex Jennings	2
Sylvia Syms	2
Tim McMullan	1
Robin Soans	1
Lola Peploe	1
Douglas Reith	1
Matt Damon	13
Robert De Niro	14
Tammy Blanchard	1
Keir Dullea	1
Michael Gambon	7
William Hurt	9
Gaspard Ulliel	17
Rhys Ifans	7
Aaran Thomas	1
Helena-Lia Tachovská	1
Richard Leaf	1
Michelle Wade	1
Martin Hub	1
Ingeborga Dapkunaite	5
Joerg Stadler	2
Nicolas Cage	34
Sam Elliott	4
Matt Long	1
Raquel Alessi	1
Brett Cullen	3
Peter Fonda	3
Donal Logue	5
Tony Ghosthawk	1
Hugh Sexton	1
Kazunari Ninomiya	4
Tsuyoshi Ihara	8
Ryô Kase	9
Shidô Nakamura	8
Hiroshi Watanabe	1
Takumi Bando	1
Yuki Matsuzaki	2
Takashi Yamaguchi	1
Eijiro Ozaki	2
Mélanie Laurent	28
Kad Merad	35
Julien Boisselier	19
Aïssa Maïga	20
Simon Buret	3
Christophe Rossignon	7
Eric Herson-Macarel	4
Thierry Lavat	1
Emmanuel Courcol	3
Forest Whitaker	18
Hugh Laurie	3
Chris Evans	17
Cedric The Entertainer	3
Jay Mohr	3
Terry Crews	5
The Game	2
Rowan Atkinson	4
Steve Pemberton	2
Lily Atkinson	1
Preston Nyman	1
Sharlit Deyzac	1
Francois Touch	1
Arsène Mosca	7
Stéphane Debac	11
Gerard Butler	23
Lena Headey	12
David Wenham	10
Dominic West	8
Vincent Regan	9
Michael Fassbender	13
Tom Wisdom	1
Andrew Pleavin	2
Andrew Tiernan	4
Rodrigo Santoro	11
Michael Pitt	7
Louis Garrel	31
Anna Chancellor	4
Robin Renucci	5
Florian Cadiou	1
Pierre Hancisse	4
Valentin Merlet	2
Paz Vega	11
Tristán Ulloa	4
Najwa Nimri	5
Elena Anaya	8
Daniel Freire	1
Silvia Llanos	1
Diana Suárez	1
Javier Cámara	2
Juan Fernández	5
Charo Zapardiel	1
Leonardo DiCaprio	3
Jennifer Connelly	8
Kagiso Kuypers	1
Arnold Vosloo	5
Antony Coleman	1
Benu Mabhena	1
Anointing Lukola	1
David Harewood	3
Basil Wallace	1
Janne Hyytiäinen	1
Maria Järvenhelmi	3
Maria Heiskanen	1
Ilkka Koivula	2
Sergei Doudko	1
Andrei Gennadiev	1
Arturas Pozdniakovas	1
Matti Onnismaa	5
Sulevi Peltola	1
Antti Reini	5
Marion Cotillard	38
Sylvie Testud	38
Pascal Greggory	24
Emmanuelle Seigner	12
Jean-Paul Rouve	38
Gérard Depardieu	57
Clotilde Courau	16
Jean-Pierre Martins	13
Catherine Allégret	3
Marc Barbé	24
Ben Whishaw	10
Dustin Hoffman	5
Alan Rickman	2
Francesc Albiol	1
Gonzalo Cunill	1
Rachel Hurd-Wood	3
Andrés Herrera	2
Simon Chandler	1
David Calder	4
Richard Felix	2
Antonio Banderas	21
Salma Hayek	13
Danny Trejo	33
Enrique Iglesias	1
Marco Leonardi	5
Cheech Marin	6
Jung Woo-sung	13
Ahn Sung-ki	13
Ju Jin-mo	5
Park Yong-woo	3
Park Jeong-hak	2
Yoo Hae-jin	15
Jung Suk-yong	2
Du-il Lee	1
Yeong-mok Han	1
John Cusack	11
Jamie Anderson	1
Megan Dodds	1
Corey Johnson	7
Jonathan Hyde	1
Bill Smitrovich	3
Anthony Warren	1
Ned Bellamy	4
Jun Ji-hyun	5
Allison Miller	1
JJ Feild	4
Koyuki	4
Yasuaki Kurata	10
Larry Lamb	3
Michael Byrne	1
Brandon Routh	1
Kevin Spacey	4
Kate Bosworth	8
James Marsden	10
Parker Posey	5
Frank Langella	4
Sam Huntington	2
Eva Marie Saint	1
Kal Penn	1
Doug Jones	6
Selma Blair	4
Rupert Evans	3
Karel Roden	13
Jeffrey Tambor	3
Ladislav Beran	1
Biddy Hodson	1
Sandra Bullock	7
Benjamin Bratt	7
Candice Bergen	1
William Shatner	3
Ernie Hudson	4
John DiResta	3
Heather Burns	2
Melissa De Sousa	2
Steve Monroe	1
Jay Chou	9
Ye Liu	11
Dahong Ni	5
Junjie Qin	2
Man Li	1
Jin Chen	2
Aaron C. Shang	1
Liam O'Brien	2
Martin Hancock	2
Nathalie Cox	2
Eriq Ebouaney	24
Jouko Ahola	1
David Thewlis	10
Philip Glenister	1
Karl Urban	14
Clancy Brown	7
Russell Means	2
Jay Tavare	1
Nathaniel Arcand	2
Ralf Moeller	2
Kevin Loring	1
Wayne Charles Baker	1
Michelle Thrush	3
Robert Redford	5
Catherine McCormack	4
Stephen Dillane	5
Larry Bryggman	1
Marianne Jean-Baptiste	4
Matthew Marsh	3
Todd Boyce	2
Michael Paul Chan	1
Garrick Hagon	3
Karen Young	3
Louise Portal	3
Ménothy Cesar	1
Lys Ambroise	1
Jackenson Pierre Olmo Diaz	1
Wilfried Paul	1
Anotte Saint Ford	1
Marie-Laurence Hérard	1
Michelet Cassis	1
Osman Elkharraz	1
Sara Forestier	23
Sabrina Ouazani	22
Nanou Benhamou	1
Hafet Ben-Ahmed	1
Aurélie Ganito	1
Carole Franck	22
Hajar Hamlili	1
Rachid Hami	2
Meriem Serbah	7
Romain Duris	29
Aure Atika	22
Emmanuelle Devos	35
Niels Arestrup	22
Jonathan Zaccaï	23
Gilles Cohen	22
Linh-Dan Pham	10
Anton Yakovlev	4
Agnès Aubé	2
Judith Godrèche	6
Kelly Reilly	8
Cécile de France	33
Cristina Brondo	2
Federico D'Anna	1
Barnaby Metschurat	1
Christian Pagh	1
Kevin Bishop	6
Justin Long	2
Timothy Olyphant	6
Cliff Curtis	11
Jonathan Sadowski	1
Andrew Friedman	1
Kevin Smith	1
Yorgo Constantine	1
Cyril Raffaelli	7
Milla Jovovich	15
Michelle Rodriguez	15
Ryan McCluskey	1
Oscar Pearce	1
Indra Ové	1
Anna Bolt	1
Joseph May	1
Robert Tannion	1
Heike Makatsch	2
Jaymes Butler	1
Oded Fehr	3
Sophie Vavasseur	1
Razaaq Adoti	3
Jared Harris	5
Mike Epps	6
Sandrine Holt	4
Gerardo Taracena	5
Raoul Max Trujillo	6
Dalia Hernández	1
Rudy Youngblood	3
Jonathan Brewer	1
Morris Birdyellowhead	1
Carlos Emilio Báez	1
Amilcar Ramírez	1
Israel Contreras	1
Israel Ríos	1
Ben Stiller	6
Carla Gugino	12
Ricky Gervais	4
Dick Van Dyke	1
Mickey Rooney	2
Bill Cobbs	3
Jake Cherry	3
Robin Williams	2
Kim Raver	1
Patrick Gallagher	5
Lewis McKenzie	1
Jane Lapotaire	1
Gina McKee	4
Ben Miller	4
Wayne Galtrey	1
Ciaran Griffiths	1
Bobby Power	1
Robert Carlyle	7
Samia Longchambon	1
Antony Marsh	1
Nigel Whitmey	3
Robert Jezek	1
Meat Loaf	2
Jake Abraham	1
Mac McDonald	2
Aaron Swartz	1
David Webber	1
Ryan Phillippe	9
Benicio Del Toro	9
Juliette Lewis	2
Taye Diggs	4
Nicky Katt	1
Geoffrey Lewis	3
Dylan Kussman	1
Scott Wilson	1
Kristin Lehman	2
Olga Kurylenko	27
Robert Knepper	7
Ulrich Thomsen	8
Henry Ian Cusick	1
Michael Offei	1
Christian Erickson	3
Joe Sheridan	6
Laurent Lucas	20
André Dussollier	48
Véronique Affholder	1
Michel Cassagne	3
Florence Desille	1
Emmanuel Gayet	1
Félix Gonzales	1
Steve Buscemi	7
Ethan Phillips	2
Brian Stepanek	2
Noa Tishby	1
Siobhan Flynn	1
Al Pacino	3
Bridget Moynahan	5
Gabriel Macht	5
Kenneth Mitchell	1
Mike Realba	1
Ron Lea	1
Karl Pruner	2
Jeanie Calleja	1
Jenny Cooper	2
Rodrigo de la Serna	2
Mercedes Morán	4
Jean Pierre Noher	2
Lucas Oro	1
Marina Glezer	2
Sofia Bertolotto	2
Franco Solazzi	1
Ricardo Díaz Mourelle	1
Catherine Zeta-Jones	3
Rufus Sewell	9
Alberto Reyes	1
Julio Oscar Mechoso	3
Gustavo Sánchez Parra	2
Adrian Alonso	1
Nick Chinlund	7
Giovanna Zacarías	1
Carlos Cobos	1
Romane Bohringer	10
Charles Berling	31
Jules Sitruk	8
Jose Coronado	6
Sky du Mont	1
Gösta Ekman	1
Fiorello	1
Sofie Gråbøl	4
Hikari Ishida	1
Penélope Cruz	14
Irene Papas	2
Gerasimos Skiadaressis	1
Aspasia Kralli	1
Mihalis Giannatos	2
Dimitris Kaberidis	1
Pietro Sarubbi	1
Edward Norton	4
Liv Tyler	2
Christina Cabot	1
Peter Mensah	2
Lou Ferrigno	4
Paul Soles	2
Robert Downey Jr.	14
Gwyneth Paltrow	6
Terrence Howard	10
Jeff Bridges	6
Leslie Bibb	3
Shaun Toub	1
Faran Tahir	2
Clark Gregg	7
Sayed Badreya	1
Jackie Chan	34
Michael Angarano	6
Juana Collignon	1
Morgan Benoit	1
Jack Posobiec	1
Thomas McDonell	1
Zhi Ma Gui	1
Shen Shou He	1
Bin Jiang	1
Karolina Gruszka	2
Krzysztof Majchrzak	2
Grace Zabriskie	2
Jan Hencz	1
Ian Abercrombie	2
Karen Baird	1
Bellina Logan	1
Peter J. Lucas	1
Amanda Foreman	1
Brendan Fraser	4
John Hannah	6
Patricia Velasquez	1
Freddie Boath	1
Dwayne Johnson	30
Adewale Akinnuoye-Agbaje	10
Maria Bello	5
Luke Ford	4
Isabella Leong	2
Anthony Chau-Sang Wong	26
Russell Wong	4
Julianne Moore	10
Jessica Biel	8
Tory Kittles	6
José Zúñiga	4
Jim Beaver	1
Jason Butler Harner	4
Michael Trucco	1
Enzo Cilenti	5
Hayley Atwell	5
Sebastian Stan	6
Dominic Cooper	8
Richard Armitage	7
Toby Jones	11
John Malkovich	19
Evangeline Lilly	5
Pascale Bussières	3
Sara Waisglass	1
Reece Thompson	2
Bruno Verdoni	1
Joan Gregson	1
Mark Camacho	3
Robin Wilcock	1
Ciarán McMenamin	1
Mark Strong	23
Yûgo Sasô	1
Sakae Kimura	1
James Cosmo	9
Masayuki Yui	1
John Gregg	1
Shû Nakajima	1
Isabelle Huppert	46
Benoît Magimel	41
Susanne Lothar	1
Udo Samel	3
Anna Sigalevitch	5
Cornelia Köndgen	1
Thomas Weinhappel	1
Georg Friedrich	6
Philipp Heiss	1
Evguenya Obraztsova	1
Irene Montalà	2
Gary Love	1
Lucy Gordon	2
Ethan Hawke	17
Jared Leto	5
Shake Tukhmanyan	1
Jean-Pierre Nshanian	1
Jared Burke	1
Eric Uys	1
David Shumbris	1
Stewart Morgan	1
Marina de Van	2
Léa Drucker	28
Thibault de Montalembert	11
Dominique Reymond	19
Bernard Alane	8
Marc Rioufol	6
François Lamotte	1
Adrien de Van	3
Alain Rimoux	4
Anne Coesens	10
Michel Bompoil	3
Tony Todd	5
Quentin Rossi	1
Jacqueline Jehanneuf	5
Aladin Reibel	6
